name,group,usage
دزموپرسین,ضد ادرار ضد خونریزی,دیابت بی مزه با مشکل مغزی شب ادراری
دی اتیل اسیل بسترول,ضد نئوپلاسم ضد سرطان,درمان سرطانی پیشرفته پروستات و پستان و جلوگیری از حاملگی بعد از نزدیکی
اکسی توکسین,ضد شلی رحمی عامل انقباظات رحمی,جهت تحریک انقباضات رحمی برای پیشگیری از خونریزی بعد از زایمان و تحریک ترشح شیر
دانازول,تستوسترون,بیماری اندومتریوز رحم زنان بیماری فیبروکیستیک پستان
گونادورلین,هورمون,درمان عقیمی و کم کاری هیپوفیز عدم قاعدگی آمنوره تشخیص کم کاری غدد جنسی
اریتروپوئیتین,درمان کم خونی,کم خونی ناشی از نارسایی مزمن کلیه کم خونی در بیماریی که تحت درمان با زیدوودین قرار گرفته اند یا بیماران دچار توموری بدخیم
دانترولن,شل کننده عضلات مخطط,در بیهوشی هیپرترمی بدخیم اسپاسیتی مزمن
فنی توئین,ضد تشنج,تشنج بی نظمیی رییم قلبی آریتمی تشنج در حاملگی سکسکه مقاوم
لیندان,ضد گال ضد شپش,درمان گال شپش
ب - ث - ژ داخل مثانه,ضد نئوپلاسم,درمان سرطان تومور مثانه و پیشگیری از تومورهای اولیه عود کننده مجاری اداری
ب . ث . ژ,واکسن ضد مایکوباکتریالبیماری سل,برای واکسیناسیون افرادی که با بیماران دچار سل تماس نزدیک داشته اند .
ب - کمپلکس,ب - کمپلکس,درمان یا پیشگیری از کمبود ویتامینی گروه
اسید فولیک,اسید فولیک 6,کمبود اسید فولیک درمان کم خونی
دی هیدروتاکی استرول,ویتامین 3,درمان کمبد کلسیم خون و هیپوفسفاتمی فامیلیال هیپوکلسیمی ناشی از کم کاری پاراتیروئید و استئودیستروفی کلیوی در اورمی مزمن نارسایی کلیه و بیماری ریکتز کمبود ویتامین
فلودارابین,ضد سرطان,سرطانی لنفوم غیر هوچکینی و لوسمی و هوچکین
لیتیوم کربنات,ضد مانیا,کنترل و پیشگیری از حملات مانیا افسردگی در بیماران دوقطبی اختلالات وسواسی بی اشتهایی عصبی اختلالات روانی بعد از زایمان
بنزوئیل پراکساید,ضد آکنه - ضد باکتری,ضد جوش آکنه در سر و صورت درمان ضخمی بستر یا زخمی ناحیه واریس پا
کل تار,ضد شوره سر ضدسبوره,درمان پسوریازیس دفع خارش پوستی اگزما التهاب پوستی
کرومولین سدیم,ضد آسم و آلرژی,پیشگیری از علائم آسم علائم آلرژی تنگی مجاری بزرگ هوایی
هیدروکسی کلروکین سولفات,ضد مالاریا و ضد رماتیسم,در دمان و پیشگیری انواع مالاریا و رماتیسم مفصلی لوپوس اریتماتو
کلسیم - د,مکمل غذایی,کمبود کلسیم استئوپورز پوکی استخوان کمبود شدید کلسیم و ویتامین ریکتز
فیبا,فاکتور ضد خونریزی,ضد خونریزی
بتامتازون چشمی - گوشی,ضد التهاب,التهاب قرینیه چشم التهاب ملتحمه ضایعات آلژیک چشم التهاب گوش خارجی
بتامتازون - ان,ضد التهاب,بیماری التهابی غیر عفونی چشم یا مجاری خارجی گوش
کلوبتازول,ضد التهاب موضعی,ضایعات پوستی بیماریی التهابی پوست خارش موضعی
بکلومتازون,ضد التهاب ضد آسم,آسم اسپاسم مجاری هوایی به صورت مزمن مثل برونشیت عود پولیپ بینی بعد از جراحی آلرژی فصلی
پردنیزولون,ضد التهاب,التهاب موضعی و موارد بیماریی رماتیسمی
تریامسینولون,ضد التهاب مهار ایمنی,التهاب مفصلی تزریق داخل وریدی
فلودروکورتیزون,جایگزین منیرالوکورتیکوئید,نارسایی مزمن غده فوق کلیه و بیماری آدرنوژنیتال و کاهش فشار خون وابسته به وضعیت
بتانکول,محرک دستگاه ادراری و گوارش,احتباس ادراری و در ضایعه برگشت ترشحات معده به مریریفلاکس
کومارین,ضد انعقادی,ادم و تورم لنفاوی در بیماریی فیلاریازیس و پس از عمل جراحی برداشتن پستان ماستکتومی
نالیدیک اسید,آنتی بیوتیک,عفونت ادراری
یدوکینول,ضد آمیب روده ای,آلودگی به آمیبی روده ای
قرص سرماخوردگی بزرگسالاناستامینوفن . کلروفنیرامین ملات . فنیل افرین هیدروکلراید,-,به طور موقت علائم سرماخوردگی و آنفولانزا را تسکین می دهد
ایمیپنیم,انتی باکتریال,برای درمان عفونتهای دستگاه تنفسی تحتانی ناشی از سویهی مستعد استافیلوکوکوس اورئوس ایزولهی تولید کننده پنی سیلیناز ، گونهی اسینتوباکتر ، گونهی انتروباکتر ، اشرشیا کولی ، هموفیلیوس آنفلوانزا ، گونهی کلبسیلا .
مرپنم,انتی باکتریال,برای تزریق برای درمان عفونتی پیچیده و پوستی به دلیل استافیلوکوکوس اورئوس ، استرپتوکوک پیوژنز ، استرپتوکوک آگالاکتیا ، گروه ویریدان استرپتوکوکی ، انتروکوکوس فکالیس حساس به وانکومایسینسین
سفیکسیم,انتی باکتریال,در درمان بزرگسالان و کودکان شش ماهه یا بالاتر با عفونتی ادراری .
سفیکسیم,انتی باکتریال,در درمان بزرگسالان و کودکان شش ماهه یا بالاتر با عفونتی ادراری .
سفازولین,انتی باکتریال,پنومونی ، گونهی کلبسیلا ، هموفیلوس آنفلوانزا ، استافیلوکوکوس اورئوس حساس به پنی سیلین و مقاوم به پنی سیلین و استرپتوکوکهای بتا همولیتیک گروه .
سفالکسین,انتی باکتریال,سفالکسین برای درمان عفونتی ناشی از باکتری از جمله عفونتی تنفسی فوقانی ، عفونت گوش ، عفونتی پوستی ، عفونتی ادراری و عفونتی استخوانی استفاده می شود .
سفالکسین,انتی باکتریال,سفالکسین برای درمان عفونتی ناشی از باکتری از جمله عفونتی تنفسی فوقانی ، عفونت گوش ، عفونتی پوستی ، عفونتی ادراری و عفونتی استخوانی استفاده می شود .
سفتریکسون,انتی باکتریال,این دارو حاوی سفتریاکسون است . در صورتی که به سفتریاکسون یا مواد تشکیل دهنده موجود در این دارو حساسیت داریدمصرف نکنید .
سفوتاکسیم,سفالوسپورین,برای درمان یا جلوگیری از عفونتی باکتریایی استفاده می شود .
ازیترومایسین,انتی باکتریال,آزیترومایسین یک داروی ضد باکتریایی ماکرولید است که برای درمان بیماران مبتلا به عفونت خفیف تا متوسط ​​ناشی از سویهی مستعد میکروارگانیسمی تعیین شده نشان داده شده است .
ازیترومایسین,انتی باکتریال,آزیترومایسین برای تزریق یک داروی ضد باکتری ماکرولید است که برای معالجه بیماران مبتلا به عفونت ناشی از سویهی مستعد میکروارگانیسمی تعیین شده مانندمایکوپلاسما پنومونیه ، استافیلوکوکوس اورئوس یا استرپتوکوک پنومونیه در بیمارانی که به درمان اولیه داخل وریدی نیاز دارند .
ازیترومایسین,انتی باکتریال,آزیترومایسین برای تزریق یک داروی ضد باکتری ماکرولید است که برای معالجه بیماران مبتلا به عفونت ناشی از سویهی مستعد میکروارگانیسمی تعیین شده مانندمایکوپلاسما پنومونیه ، استافیلوکوکوس اورئوس یا استرپتوکوک پنومونیه در بیمارانی که به درمان اولیه داخل وریدی نیاز دارند .
آزیترومایسین,انتی باکتریال,آزیترومایسین یک داروی ضد باکتریایی ماکرولید است که برای درمان بیماران مبتلا به عفونت خفیف تا متوسط ​​ناشی از سویهی مستعد از میکروارگانیسمی تعیین شده بکارمیرود .
جنتامایسین,انتی باکتری,برای کاهش رشد باکتریهای مقاوم در برابر دارو و حفظ اثربخشی جنتامایسین تزریق ، سایر داروهای ضد باکتریایی ، جنتامایسین تزریق باید فقط برای درمان یا جلوگیری از عفونتیی که اثبات شده یا به شدت مشکوک هستند از باکتریهای مستعد ایجاد شود .
آمیکاسین,آنتی باکتریال,در بزرگسالان ، که گزینهی درمانی محدود و یا جایگزینی ندارند ، برای درمان بیماری ریه به عنوان بخشی از رژیم ترکیبی داروهای ضد باکتریایی در بیمارانی که بعد از حداقل 6 ماه متوالی کشت هنوز مثبت است مورد استفاده قرار می گیرد . چون اثربخشی بالینی محدود برای در حال حاضر در دسترس هستند ، را برای استفاده در بزرگسالانی که گزینهی درمانی محدودی دارند یا گزینه جایگزینی ندارند ، مورد استفاده قرار می گیرد . این دارو برای استفاده در یک جمعیت محدود و خاص از بیماران مشخص شده است .
سیپروفلوکساسین,انتی بیوتیک و اثر روی باکتری گرم مثبت و منفی,سیپروفلوکساسین برای درمان عفونتهای پیچیده مجاری ادراری و پیلونفریت ناشی از اشرشیا کولای استفاده می شود .
سیپروفلوکساسین,انتی بیوتیک و اثر روی باکتری گرم مثبت و منفی,سیپروفلوکساسین برای درمان عفونتهای پیچیده مجاری ادراری و پیلونفریت ناشی از اشرشیا کولای استفاده می شود .
لوفلوکساسین,500 میلی گرم در 20 میلی لیتر,دوز معمول قرص لووفلوکساسین 250 میلی گرم یا 500 میلی گرم به صورت خوراکی در هر 24 ساعت انجام می شوددوز معمول تزریق لووفلوکساسین 250 میلی گرم یا 500 میلی گرم است که طی 60 دقیقه هر 24 ساعت از طریق تزریق کند انجام می شود و یا 750 میلی گرم از طریق تزریق آهسته بیش از 90 دقیقه هر 24 ساعت انجام می شود .
لوفلوکساسین,500 میلی گرم در 20 میلی لیتر,دوز معمول قرص لووفلوکساسین 250 میلی گرم یا 500 میلی گرم به صورت خوراکی در هر 24 ساعت انجام می شوددوز معمول تزریق لووفلوکساسین 250 میلی گرم یا 500 میلی گرم است که طی 60 دقیقه هر 24 ساعت از طریق تزریق کند انجام می شود و یا 750 میلی گرم از طریق تزریق آهسته بیش از 90 دقیقه هر 24 ساعت انجام می شود .
اسیکلوویر,انتی ویروس,عفونتهای تبخال ساده
ونکومایسین,انتی باکتریال,برای انتروکولیت ناشی از استافیلوکوکوس اورئوس از جمله سویهی مقاوم به متی سیلین
رزاوستاتین,قلبی عروقی,هایپرتریگلیسیریدمی : قرصی روزوواستاتین به عنوان درمان کمکی برای رژیم غذایی برای درمان بیماران بزرگسال مبتلا بهیپرتریگلیسیریدمی معرفی شده است . اولیه نوع : قرصی روزوواستاتین به عنوان یک مکمل رژیم غذایی برای درمان بیماران بزرگسال مبتلا به اولیه نوع معرفی شده است . بیماران بزرگسال مبتلا بهیپرکلسترول خانوادگی هموزیگوت : قرصی روزوواستاتین به عنوان درمان کمکی برای سایر درمانی کاهش دهنده چربی به عنوان مثال ، دیافراگم یا به تنهایی درصورتی که چنین درمانی برای کاهش - ، - و در بیماران بزرگسال مبتلا به هموزیگوس وجود ندارد ، نشان داده شده است .
اتورواستاتین,قلبی عروقی,آتورواستاتین برای درمان انواع مختلف دیس لیپیدمی ، از جملهیپرلیپیدمی اولیه و دیس لیپیدمی مختلط در بزرگسالان ، یپرتری گلیسیریدمی ، دیس بتیلیپوپروتئینمی اولیه ، یپر کلسترول خانوادگی هموزیگوت و هیپر کلسترول خانوادگی هتروزیگوت در بزرگسالان که با اصلاح رژیم غذایی ناموفق شناخته شده است . مقادیرغیر طبیعی چربی خون نشان دهنده نمایی از کلسترول پلاسما ، تری گلیسیرید یا هر دو به عنوان لیپوپروتئین با چگالی بالا است . این بیماری خطر بالاتری برای گسترش آترواسکلروز ایجاد می کند . اتورواستاتین ، همراه با اصلاحات رژیم غذایی ، برای جلوگیری از وقایع قلبی عروقی در بیماران با فاکتورهای خطر قلبی و یا پروفایلهای چربی غیر طبیعی شناخته شده است . آتورواستاتین می تواند به عنوان یک عامل پیشگیرانه برای انفارکتوس میوکارد غیر کشنده ، سکتهی کشنده و غیر کشنده ، روشهای تجدید عروق ، بستری در نارسایی احتقانی قلب و آنژین در بیماران مبتلا به بیماری عروق کرونر قلب استفاده شود . تجویز داروهای استاتین به دنبال هرگونه حوادث قلبی عروقی و برای افرادی که دارای خطر متوسط ​​تا زیاد از ابتلا به هستند ، یک روش استاندارد محسوب می شود . شرایط حاوی استاتین شامل دیابت قندی ، آترواسکلروز بالینی از جمله انفارکتوس میوکارد ، سندرم حاد عروق کرونر ، آنژین پایدار ، بیماری عروق کرونر مستند ، سکته مغزی ، حمله ایسکمیک ترانس ، بیماری کاروتید مستند ، بیماری شریان محیطی و گرفتگی ، آئورت شکمی آنوریسم ، بیماری مزمن کلیه و سطح - است .
بیزوپرولول,قلبی عروقی,بیزوپرولول با یا بدون داروهای دیگر برای درمان فشار خون بالا فشار خون بالا استفاده می شود . کاهش فشار خون بالا به جلوگیری از سکته مغزی ، حمله قلبی و مشکلات کلیوی کمک می کند . این دارو متعلق به یک دسته از داروهای شناخته شده به عنوان بتا بلاکر است . این کار با مسدود کردن عملکرد برخی مواد شیمیایی طبیعی در بدن شما مانند اپی نفرین روی قلب و رگی خونی کار می کند . این اثر ضربان قلب ، فشار خون و فشار بر قلب را کاهش می دهد .
کاپتوپریل,قلبی عروقی,فشار خون بالا : قرص کاپتوپریل برای درمان فشار خون بالا مورد استفاده قرار می گیرد . در استفاده از کاپتوپریل ، به خطر نوتروپنی آگرانولوسیتوز باید توجه داشته باشید . کاپتوپریل ممکن است به عنوان درمان اولیه برای بیمارانی که عملکرد کلیوی طبیعی دارند ، مورد استفاده قرار بگیرد . در بیماران دارای اختلال در عملکرد کلیه ، به ویژه بیماران مبتلا به بیماری عروقی کلاژن ، کاپتوپریل باید برای فشارخونیی که یا عوارض غیرقابل قبول دیگری بر روی سایر داروهای ایجاد کرده اند یا در پاسخ به رضایت بخشی به ترکیبات دارو نتوانسته اند پاسخ دهند پیگیری شود .. کاپتوپریل به تنهایی و همراه با سایر داروهای ضد فشار خون ، به ویژه دیورتیکی نوع تیازید مؤثر است . اثرات کاهش فشار خون کاپتوپریل و تیازیدها تقریباً مواد افزودنی هستند . نارسایی قلبی : قرص کاپتوپریل برای درمان نارسایی احتقانی قلب معمولاً در ترکیب با دیورتیک و دیجیتال تعیین شده اند . تأثیر مفید کاپتوپریل در نارسایی قلبی نیازی به وجود دیجیتالی ندارد ، اما بیشترین آزمایش کارآزمایی بالینی با کاپتوپریل در بیمارانی که دیجیتال دریافت می کنند و همچنین داروی دیورتیک بوده است . اختلال عملکرد بطن چپ بعد از انفارکتوس میوکارد : قرص کاپتوپریل برای بهبود بقا پس از انفارکتوس میوکارد در بیماران با اختلال عملکرد بطن چپ مورد استفاده قرار می گیرد . نفروپاتی دیابتی : قرص کاپتوپریل برای درمان نفروپاتی دیابتی پروتئینوری> 500 میلی گرم در روز در بیماران مبتلا به دیابت وابسته به انسولین نوع 1 و رتینوپاتی می باشد . قرص کاپتوپریل سرعت پیشرفت نارسایی کلیوی و ایجاد پیامدهای بالینی منفی را کاهش می دهد مرگ یا نیاز به پیوند کلیه یا دیالیز . در مورد استفاده از قرص کاپتوپریل ، لازم به ذکر است که در آزمایشات نشان داده که اثر مهارکنندگیی بر فشار خون که در بیماران سیاه پوست کمتر از افراد غیر سیاه پوست است .
کاپتوپریل,قلبی عروقی,فشار خون بالا : قرص کاپتوپریل برای درمان فشار خون بالا مورد استفاده قرار می گیرد . در استفاده از کاپتوپریل ، به خطر نوتروپنی آگرانولوسیتوز باید توجه داشته باشید . کاپتوپریل ممکن است به عنوان درمان اولیه برای بیمارانی که عملکرد کلیوی طبیعی دارند ، مورد استفاده قرار بگیرد . در بیماران دارای اختلال در عملکرد کلیه ، به ویژه بیماران مبتلا به بیماری عروقی کلاژن ، کاپتوپریل باید برای فشارخونیی که یا عوارض غیرقابل قبول دیگری بر روی سایر داروهای ایجاد کرده اند یا در پاسخ به رضایت بخشی به ترکیبات دارو نتوانسته اند پاسخ دهند پیگیری شود .. کاپتوپریل به تنهایی و همراه با سایر داروهای ضد فشار خون ، به ویژه دیورتیکی نوع تیازید مؤثر است . اثرات کاهش فشار خون کاپتوپریل و تیازیدها تقریباً مواد افزودنی هستند . نارسایی قلبی : قرص کاپتوپریل برای درمان نارسایی احتقانی قلب معمولاً در ترکیب با دیورتیک و دیجیتال تعیین شده اند . تأثیر مفید کاپتوپریل در نارسایی قلبی نیازی به وجود دیجیتالی ندارد ، اما بیشترین آزمایش کارآزمایی بالینی با کاپتوپریل در بیمارانی که دیجیتال دریافت می کنند و همچنین داروی دیورتیک بوده است . اختلال عملکرد بطن چپ بعد از انفارکتوس میوکارد : قرص کاپتوپریل برای بهبود بقا پس از انفارکتوس میوکارد در بیماران با اختلال عملکرد بطن چپ مورد استفاده قرار می گیرد . نفروپاتی دیابتی : قرص کاپتوپریل برای درمان نفروپاتی دیابتی پروتئینوری> 500 میلی گرم در روز در بیماران مبتلا به دیابت وابسته به انسولین نوع 1 و رتینوپاتی می باشد . قرص کاپتوپریل سرعت پیشرفت نارسایی کلیوی و ایجاد پیامدهای بالینی منفی را کاهش می دهد مرگ یا نیاز به پیوند کلیه یا دیالیز . در مورد استفاده از قرص کاپتوپریل ، لازم به ذکر است که در آزمایشات نشان داده که اثر مهارکنندگیی بر فشار خون که در بیماران سیاه پوست کمتر از افراد غیر سیاه پوست است .
هیوسین ان بوتیل بروماید,دستگاه گوارش,برای درمان بزاق بیش از حدسیالوره ، درد شکمی کولیکی ، برادیکاردی ، دیورتیکولیت ، سندروم روده تحریک پذیر و بیماریی حرکتی
اپرپیتنت,دستگاه گوارش,برای پیشگیری از حالت تهوع و استفراغ شدید و یا کم که همراه با شیمی درمانی در بزرگسالان و نوجوانان بالای 12 سالاپرپیتنت 125 و 80 میلی گرم برای بخشی از درمان ترکیبی استفاده میشود
پنتوپرازول,دستگاه گوارش,پنتوپرازول برای استفاده در بزرگسالان و نوجوانان بالاتر از 12 سال استفاده می شودبرای رفلاکس مری التهابات مری بعد از اندوسکوپیپنتوپرازول برای بزرگسالان استفاده می شوداز بین بردن هلیکوباکتری معده . در ترکیب اختصاصی با درمان آنتی بیوتیکی بیماران با . زخم اثنی عشر و زخم معدهسندرم زولینگر الیسون و فشار خون پاتولوژیک
پنتوپرازول,دستگاه گوارش,پنتوپرازول برای استفاده در بزرگسالان و نوجوانان بالاتر از 12 سال استفاده می شودبرای رفلاکس مری التهابات مری بعد از اندوسکوپیپنتوپرازول برای بزرگسالان استفاده می شوداز بین بردن هلیکوباکتری معده . در ترکیب اختصاصی با درمان آنتی بیوتیکی بیماران با . زخم اثنی عشر و زخم معدهسندرم زولینگر الیسون و فشار خون پاتولوژیک
اندانسترون,دستگاه گوارش,اندانسترون خوراکی در بیماران بالغ برای از بین بردن استفراغ و حالت تهوع شیمی درمانی با دوز بالای سیس پلاتین بزرگتر مساوی 50 میلی گرم و پرتو درمانی و یا حالت تهوع و استفراغ بعد از عمل جراحی تجویز می شود . اندانسترون تزریقی تزریق وریدی برای جلوگیری از حال تهوع و استفراغ ایجاد شده در اثر شیمی درمانی با دوز بالای سیس پلاتین برگتر مساوی 50 میلی گرم و یا بعد از عمل جراحی تجویز می شود . اندانسترون نباید برای هرگروه سنی از کودکان بیمار که دارای حالت تهوع و استفراغ بعد از عمل جراحی هستند تجویز شود . در بیماران سالمندی کمتر از 65 سال اثربخشی و تحمل پذیری اندانسترون در درمان حالت تهوع و استفراغ بعد از شیمی درمانی و پرتو درمانی مانند افراد جوان است . مطالعات بالینی کمی درباره درمان با اندانسترون در افراد سالمند وجود دارد و برای آن پیشنهاد نمی شود .
اندانسترون,دستگاه گوارش,اندانسترون خوراکی در بیماران بالغ برای از بین بردن استفراغ و حالت تهوع شیمی درمانی با دوز بالای سیس پلاتین بزرگتر مساوی 50 میلی گرم و پرتو درمانی و یا حالت تهوع و استفراغ بعد از عمل جراحی تجویز می شود . اندانسترون تزریقی تزریق وریدی برای جلوگیری از حال تهوع و استفراغ ایجاد شده در اثر شیمی درمانی با دوز بالای سیس پلاتین برگتر مساوی 50 میلی گرم و یا بعد از عمل جراحی تجویز می شود . اندانسترون نباید برای هرگروه سنی از کودکان بیمار که دارای حالت تهوع و استفراغ بعد از عمل جراحی هستند تجویز شود . در بیماران سالمندی کمتر از 65 سال اثربخشی و تحمل پذیری اندانسترون در درمان حالت تهوع و استفراغ بعد از شیمی درمانی و پرتو درمانی مانند افراد جوان است . مطالعات بالینی کمی درباره درمان با اندانسترون در افراد سالمند وجود دارد و برای آن پیشنهاد نمی شود .
اندانسترون,دستگاه گوارش,اندانسترون خوراکی در بیماران بالغ برای از بین بردن استفراغ و حالت تهوع شیمی درمانی با دوز بالای سیس پلاتین بزرگتر مساوی 50 میلی گرم و پرتو درمانی و یا حالت تهوع و استفراغ بعد از عمل جراحی تجویز می شود . اندانسترون تزریقی تزریق وریدی برای جلوگیری از حال تهوع و استفراغ ایجاد شده در اثر شیمی درمانی با دوز بالای سیس پلاتین برگتر مساوی 50 میلی گرم و یا بعد از عمل جراحی تجویز می شود . اندانسترون نباید برای هرگروه سنی از کودکان بیمار که دارای حالت تهوع و استفراغ بعد از عمل جراحی هستند تجویز شود . در بیماران سالمندی کمتر از 65 سال اثربخشی و تحمل پذیری اندانسترون در درمان حالت تهوع و استفراغ بعد از شیمی درمانی و پرتو درمانی مانند افراد جوان است . مطالعات بالینی کمی درباره درمان با اندانسترون در افراد سالمند وجود دارد و برای آن پیشنهاد نمی شود .
امپرازول,گوارش,بزرگسالان : درمان زخم اثنی عشرجلوگیری از بازگشت زخم اثنی عشردرمان زخم معدهجلوگیری از بازگشت زخم معدههمراه با آنتی بیوتیک مناسب برای درمان هلیکوباکتر در بیماران دارای زخم معدهدرمان با داروهای ضد التهابی مربوط به زخم معده و اثنی عشرجلوگیری با داروهای ضد التهابات شکمی مربوط به بیماران با زخم معده و اثنی عشر در معرض خطردرمان رفلاکس ناشی از التهاب مریمدیریت طولانی مدت بیمار با التیام رفلاکس ناشی از التهاب مریدرمان نشانهی بیماری رفلاکس معده و رودهدرمان سندروم -
هیوسین ان بوتیل بروماید,دستگاه گوارش,برای درمان بزاق بیش از حدسیالوره ، درد شکمی کولیکی ، برادیکاردی ، دیورتیکولیت ، سندروم روده تحریک پذیر و بیماریی حرکتی
بتامتازون,کورتیکواستروئیدها,حالات آلرژیک ، بیماریهای پوستی . اختلالات غدد درون ریز ، بیماریی دستگاه گوارش ، اختلالات خونریزی ، بیماریی دیگر ، نئوپلاستیک ، سیستم عصبی ، بیماریی چشمی ، بیماریی کلیوی ، بیماریی تنفسی ، روماتیسمی
بتامتازون,کورتیکواستروئیدها,حالات آلرژیک ، بیماریهای پوستی . اختلالات غدد درون ریز ، بیماریی دستگاه گوارش ، اختلالات خونریزی ، بیماریی دیگر ، نئوپلاستیک ، سیستم عصبی ، بیماریی چشمی ، بیماریی کلیوی ، بیماریی تنفسی ، روماتیسمی
متیل پردنیزولون استات,کورتیکواستروئیدها,متیل پردنیزولون یک داروی کورتیکواستروئیدی است که مانع از انتشار موادی که باعث التهاب می شود ، می گردد . متیل پردنیزولون برای درمان بسیاری از شرایط التهابی مختلف مانند آرتریت ، لوپوس ، پسوریازیس ، کولیت اولسراتیو ، اختلالات آلرژیک ، اختلالات غده غدد درون ریز و شرایطی که بر روی پوست ، چشم ، ریه ، معده ، سیستم عصبی یا سلولی خونی تأثیر می گذارد ، استفاده می شود .
تریامسینولون,کورتیکواستروئیدها,متعلق به طبقه ای از داروها به نام کورتیکواستروئیدها است . از انتشار مواد در بدن که باعث التهاب می شوند جلوگیری می کند . تریامسینولون خوراکی از طریق دهان برای درمان بسیاری از شرایط مختلف مانند اختلالات آلرژیک ، شرایط پوستی ، کولیت اولسراتیو ، آرتروز ، لوپوس ، پسوریازیس یا اختلالات تنفسی استفاده می شود
هیدروکورتیزون سدیم,کورتیکواستروئیدها,حالات آلرژیک ، بیماریی پوستی ، اختلالات غدد درون ریز ، بیماریی دستگاه گوارش ، اختلالات هماتولوژیک ، سایر موارد ، بیماریهای نئوپلاستیک ، سیستم عصبی ، بیماریی چشمی ، بیماریی کلیوی ، بیماریی تنفسی ، روماتیسمی
متیل پردنیزولون سدیم سوکسینات,کورتیکواستروئیدها,حالات آلرژیک ، بیماریهای پوستی ، بیماریهای غدد درون ریز ، اختلالات غدد درون ریز ، بیماریهای دستگاه گوارش ، اختلالات خونریزی ، متفرقه ، بیماریهای نئوپلاستیک ، سیستم عصبی ، بیماریهای چشمی ، بیماریهای کلیوی ، بیماریهای تنفسی ، اختلالات روماتیسمی
دکسترومتورفان,سرکوب کنندهی سرفه,دکسترومتورفان یک سرکوب کننده سرفه است . این سیگنالها در مغز که باعث رفلکس سرفه می شوند ، تأثیر می گذارد .
کتوتیفن,آنتی هیستامین,کتوتیفن نوعی از داروهای آسم است که هر روز در صورت مصرف آن و همراه با سایر داروهای ضد آسم ، ممکن است باعث کاهش دفعات ، شدت و مدت علائم آسم یا حملات در کودکان شود . همچنین ممکن است منجر به کاهش نیاز روزانه سایر داروهای ضد آسم شود . کوتوتیفن برای پیشگیری یا درمان حملات حاد آسم مؤثر نیست . کتوتیفن با مهار برخی از مواد در بدن که به عنوان التهاب و علائم آسم شناخته می شود ، کار می کند .
دیفن هیدرامین کامپاند,آنتی هیستامین,دیفن هیدرامین یک آنتی هیستامین گیرنده 1 نسل اول است که به طور گسترده برای درمان آلرژیی فصلی ، نیش حشرات و نیش و بثورات مورد استفاده قرار می گیرد . با این حال ، همچنین دارای خاصیت ضد میکروبی ، ضد درد ، هیپنوتیزم و ضدپارکینسون است . همانطور که گیرندهی هیستامین هم در محیط و هم در سیستم عصبی مرکزی وجود دارد ، نشان داده می شود که دیفن هیدرامین به دلیل آنتاگونیسم رقابتی گیرندهی هیستامین 1 در سیستم عصبی مرکزی باعث آرام بخشی می شود . در حالی که استفاده از آن در آلرژی درمانی ممکن است بعلت تأثیر آرام بخش کننده ، بعضاً مطلوب نباشد ، دیفن هیدرامین برای استفاده در بسیاری از داروهای خواب آور بدون نسخه و سرفه و سرماخوردگی که برای شب به بازار عرضه شده است ، مجدداً مورد استفاده قرار گرفته است .
دیفن هیدرامین کامپاند,آنتی هیستامین,این دارو برای سهولت در علائم آلرژی استفاده می شود . برای تسکین سرفه استفاده می شود . از آن برای رقیق شدن خلط استفاده می شود بنابراین با سرفه می توان از بدن خارج شد . برای کمک به بیماری حرکتی استفاده می شود .
هیدروکسی زین,آنتی هیستامین,هیدروکسی زین یک آنتی هیستامین است که اثرات هیستامین شیمیایی طبیعی در بدن را کاهش می دهد . هیستامین می تواند علائم خارش یا کهیر روی پوست ایجاد کند . از هیدروکسیزین ممکن است برای درمان واکنشهای آلرژیک پوستی مانند کهیر یا درماتیت تماسی استفاده شود . از آنجا که هیدروکسیزین باعث کاهش فعالیت در سیستم عصبی مرکزی نیز می شود ، می تواند به عنوان یک آرام بخش در درمان اضطراب و تنش استفاده شود . همچنین به همراه داروهای دیگری که در حین و بعد از بی حسی عمومی داده می شود ، استفاده می شود . از هیدروکسیزین نیز برای درمان واکنشی آلرژیک پوستی مانند کهیر یا درماتیت تماسی استفاده می شود .
فکسوفنادین,آنتی هیستامین,این دارو برای کاهش علائم آلرژی استفاده می شود . برای درمان کهیر استفاده می شود .
ویتامین کمپلکس,ویتامین,در اختلالات نیاز به تجویز به موقع ویتامین ، یعنی درمان قبل و بعد از عمل ، در هنگام افزایش نیازها مانند تب ، سوختگیی شدید ، افزایش متابولیسم ، بارداری ، اختلالات دستگاه گوارش که با مصرف یا جذب ویتامین ، بیماریی طولانی مدت یا هدر رفته ، الکلیسم و جایی که نقایص دیگری وجود دارد .
فروس سولفات,عامل ضد کم خونی,کمبود آهنکم خونی همراه با نارسایی مزمن کلیهمکمل ویتامین مواد معدنی
کلسیم,مکمل,سوءضمه سوءضمه . مقادیر بالای پتاسیم در خونیپرکالمی ، سطح پایین کلسیم در خون هیپوکلسمی . نارسایی کلیه . ریزش استخوان در افرادی که داروهای بنام کورتیکواستروئید مصرف می کنند . پاراتیروئید بیش از حد فعالیپرپاراتیروئیدیسم . استخوانی ضعیف و شکننده پوکی استخوان ، سندرم قبل از قاعدگی
