name,preprocessed_ALL
Azilsartan medoxomil,Azilsartan medoxomil Azilsartan medoxomil prodrug broken azilsartan belongs angiotensin-receptor blocking ARB drug class selective AT1 subtype angiotensin II receptor antagonist Azilsartan medoxomil relatively recently-developed antihypertensive drug first approved FDA February A7354 Many guideline recommend use ARBs first-line therapy initiating antihypertensive therapy indicate clinical efficacy ARBs comparable angiotensin-converting enzyme ACE inhibitor also used first-line treatment hypertension A232863 Azilsartan medoxomil marketed brand name Edarbi used treat hypertension monotherapy combination antihypertensive drug also available combination product chlorthalidone hypertension major risk factor cardiovascular disease A7354 early management hypertension several implication patient survival rate quality life future Lowering blood pressure associated reduced risk fatal nonfatal cardiovascular event primarily stroke myocardial infarction L32918 Azilsartan medoxomil thus speculated lower mortality rate onset cardiovascular disease Although clinical significance yet determined azilsartan medoxomil may potential off-label us patient history myocardial infarction heart failure A232863 compound belongs class organic compound known biphenyls derivative organic compound containing benzene ring linked together C-C bond Azilsartan medoxomil indicated treatment hypertension lower blood pressure patient year age may used either alone combination antihypertensive agent antihypertensive drug lesser effect blood pressure black patient L32918 Azilsartan medoxomil available fixed-dose combination product chlorthalidone indicated treatment hypertension patient whose hose blood pressure adequately controlled monotherapy may used initial therapy patient likely need multiple drug achieve blood pressure goal L32923 Azilsartan medoxomil belongs angiotensin-receptor blocking ARB class drug used decrease progression moderate-to-severe albuminuria prevent recurrence atrial fibrillation off-label us patient diabetes mellitus hypertension A232863
Spinosad,Spinosad Spinosad pediculicide mixture spinosyn spinosyn approximately ratio respectively used topical treatment head louse child four year old older adult Spinosad insecticide based compound found spinosa bacterial specie Spinosad also experimented use cat treatment flea infestation also experimented use KS1 Ctenocephalides felis flea strain infesting dog addition many investigation use animal agricultural plant compound belongs class organic compound known aminoglycosides molecule portion molecule composed amino-modified sugar Spinosad indicated topical treatment head louse infestation adult pediatric patient-≥ month old L146 also indicated topical treatment scabies infestation adult pediatric patient-≥ year old L146
Ioflupane I-123,Ioflupane I- Ioflupane I- radiopharmaceutical used image dopamine neuron diagnose Parkinsonian syndrome compound belongs class organic compound known phenyltropanes compound containing phenyl group linked tropane moiety Tropane organonitrogenous bicyclic organic compound Ioflupane I- SPECT single photon emission computerized tomography agent used distinguish Parkinson-’ syndrome tremor essential tremor
Deferiprone,Deferiprone Deferiprone oral iron chelator used second line agent thalassemia syndrome iron overload blood transfusion occurs Thalassemias type hereditary anaemia due defect production hemoglobin result erythropoiesis production new red blood cell impaired FDA approved October compound belongs class organic compound known methylpyridines organic compound containing pyridine ring substituted one position methyl group Deferiprone indicated thalassemia syndrome first line chelation agent adequate treat transfusional iron overload
Lomitapide,Lomitapide Lomitapide microsomal triglyceride transfer protein MTP inhibitor used homozygous familial hypercholesterolemia HoFH patient marketed name Juxtapid-R compound belongs class organic compound known fluorenes compound containing fluorene moiety consists two benzene ring connected either cyclopentane cyclopentene cyclopenta- -diene Used homozygous familial hypercholesterolemia HoFH patient reduce low-density lipoprotein cholesterol LDL-C total cholesterol TC apolipoprotein-B apo-B non-high-density lipoprotein cholesterol non-HDL-C
Vismodegib,Vismodegib Vismodegib inhibits hedgehog signalling pathway indicated treatment adult basal cell carcinoma FDA approved Jan compound belongs class organic compound known benzanilides aromatic compound containing anilide group carboxamide group substituted benzene ring general structure RNCOR-R R benzene Vismodegib used treating locally advanced metastatic basal cell carcinoma patient whose carcinoma recurred surgery patient candidate surgery radiation
Dehydroascorbic acid,Dehydroascorbic acid Dehydroascorbic acid made oxidation ascorbic acid reaction reversible dehydroascorbic acid instead undergo irreversible hydrolysis -diketogulonic acid Dehydroascorbic acid well ascorbic acid termed Vitamin-C latter main form found human body dehydroascorbic acid ascorbic acid similar biological activity antiviral dehydroascorbic acid also neuroprotective effect Currently dehydroascorbic acid experimental drug known approved indication compound belongs class organic compound known gamma butyrolactones compound containing gamma butyrolactone moiety consists aliphatic five-member ring four carbon atom one oxygen atom bear ketone group carbon adjacent oxygen atom approved indication dehydroascorbic acid potential therapeutic use patient certain virus ischemic stroke
2-deoxyglucose,-deoxyglucose -deoxyglucose predominantly used diagnostic agent radiolabelled form fluorine- used radiolabel using positron emission tomography PET radiolabelled -deoxyglucose determine glucose metabolism altered disease cardiovascular disease tumor Alzheimers disease Therapeutically -deoxyglucose investigational drug studied anticancer antiviral agent Concerning former-- deoxyglucose used adjunct chemotherapy radiotherapy treatment solid tumor lung breast pancreas head neck gastric tumor exact mechanism action -deoxyglucose still investigated known hypoxic cancer cell -deoxyglucose glycolysis inhibitor prevents ATP production ultimately cell survival respect antiviral therapy -deoxyglucose shown effective herpes simplex virus affecting virus ability penetrate cell experimental drug -deoxyglucose demonstrated work anticonvulsant temporal lobe epilepsy condition -deoxyglucose represses expression certain protein high level seizure Although several possible therapeutic indication -deoxyglucose presently approved indication -deoxyglucose therapeutic agent compound belongs class organic compound known fatty alcohol aliphatic alcohol consisting chain least six carbon atom July approved therapeutic indication -deoxyglucose -deoxyglucose may several potential indication adjunct chemotherapy radiotherapy treatment solid tumor antiviral treatment herpes simplex patient antiepileptic temporal lobe epilepsy patient
Taurochenodeoxycholic acid,Taurochenodeoxycholic acid Taurochenodeoxycholic acid experimental drug normally produced liver physiologic function emulsify lipid cholesterol bile medication taurochenodeoxycholic acid reduces cholesterol formation liver likely used choleretic increase volume bile secretion liver cholagogue increase bile discharge duodenum also investigated role inflammation cancer therapy compound belongs class organic compound known taurinated bile acid derivative bile acid derivative containing taurine conjugated bile acid moiety Taurochenodeoxycholic acid likely indicated choleretic cholagogue also investigated role inflammation cancer therapy
Tauroursodeoxycholic acid,Tauroursodeoxycholic acid Tauroursodeoxycholic acid also known ursodoxicoltaurine highly hydrophilic tertiary bile acid A249070 produced human low concentration A249070 taurine conjugate ursodeoxycholic acid A249065 comparable therapeutic efficacy safety A249070 much higher hydrophilicity A249060 Normally hydrophilic bile acid regulates hydrophobic bile acid cytotoxic effect Tauroursodeoxycholic acid reduce absorption cholesterol small intestine thereby reducing body intake dietary cholesterol body cholesterol content A249080 Tauroursodeoxycholic acid currently used Europe treat prevent gallstone bile acid derivative L17040 Due range molecular property-- namely anti-apoptotic effect-- tauroursodeoxycholic acid examined inflammatory metabolic disease neurodegenerative disease A249065 A249070 compound belongs class organic compound known taurinated bile acid derivative bile acid derivative containing taurine conjugated bile acid moiety Tauroursodeoxycholic acid used prevent treat gallstone formation L17040 Tauroursodeoxycholic acid used combination phenylbutyric acid treat amyotrophic lateral sclerosis ALS adult L42105 L43473
Spaglumic acid,Spaglumic acid Spaglumic acid β-aspartyl isoform N-Acetyl-l-aspartylglutamate isospaglumic Acid N-N-Acetyl-l-α-aspartyl-l-glutamic acid eye drop spaglumic acid either magnesium sodium salt N-Acetyl-l-aspartylglutamate Spaglumic acid mast cell stabilizer Thus used allergic condition allergic conjunctivitis Specifically spaglumic acid approved Portugal brand name Naabak Greece brand name Naaxia use patient allergic conjunctivitis compound belongs class organic compound known hybrid peptide compound containing least two different type amino acid alpha beta gamma delta linked peptide bond Used patient allergic conjunctivitis
Temocapril,Temocapril Temocapril prodrug-type angiotensin-I converting enzyme ACE inhibitor approved use United States approved Japan South Korea Temocapril also used hemodialysis patient without risk serious accumulation compound belongs class organic compound known dipeptides organic compound containing sequence exactly two alpha-amino acid joined peptide bond Temocapril ACE inhibitor primarily indicated treatment hypertension congestive heart failure diabetic nephropathy improvement prognosis coronary artery disease including acute myocardial infarction
Tetraethylammonium,Tetraethylammonium Tetraethylammonium experimental drug approved indication marketed formulation marketed drug containing tetraethylammonium combination drug called Fosglutamina B6 drug discontinued experimental agent tetraethylammonium used salt form tetraethylammonium chloride tetraethylammonium bromide mechanism action still investigated known tetraethylammonium block autonomic ganglion calcium- voltage- activated potassium channel nicotinic acetylcholine receptor inhibitory action autonomic ganglion tetraethylammonium thought potential therapeutic vasodilator serious toxic effect found common use tetraethylammonium presently pharmacological research agent block selective potassium channel Structurally tetraethylammonium positively charged due central quaternary ammonium compound belongs class organic compound known tetraalkylammonium salt organonitrogen compound containing quaternary ammonium substituted four alkyl chain Tetraethylammonium experimental drug approved indication
Agmatine,Agmatine Agmantine natural metabolite amino acid arginine formed arginine decarboxylated enzyme arginine decarboxylase found naturally ragweed pollen ergot fungi octopus muscle herring sperm sponge mammalian brain Agmatine experimental investigational drug investigational drug studied non-blinded prospective case study United States looking patient diagnosed small fiber peripheral neuropathy age year July result study yet published experimental drug agmatine studied several indication cardioprotection diabetes decreased kidney function neuroprotection stroke severe CNS injury epilepsy glaucoma neuropathic pain psychiatric condition depression anxiety schizophrenia cognition exact mechanism action still investigated potential indication agmatine compound belongs class organic compound known guanidines compound containing guanidine moiety general structure R1R2NR3R4NCN-R5 Agmatine studied experimentally several indication cardioprotection diabetes decreased kidney function neuroprotection stroke severe CNS injury epilepsy glaucoma neuropathic pain psychiatric condition depression anxiety schizophrenia cognition investigational drug agamatine studied non-blinded prospective case study United States looking patient diagnosed small fiber peripheral neuropathy
Serotonin,Serotonin temporary relief nervousness anxiety mood swing joint pain weakness drowsiness itching lethargy evaluated FDA homeopathic product compound belongs class organic compound known serotonin compound containing serotonin moiety consists indole bear aminoethyl position hydroxyl group position
N-methylnicotinamide,N-methylnicotinamide N-methylnicotinamide experimental drug approved indication marketed formulation metabolite niacinamidenicotinamide niacinnicotinic acid vitamin B3 N-methylnicotinamide used diagnose niacin deficiency measuring N-methylnicotinamide urine compound belongs class organic compound known nicotinamides heterocyclic aromatic compound containing pyridine ring substituted position carboxamide group N-methylnicotinamide experimental drug approved indication
Tyramine,Tyramine Tyramine -hydroxyphenethylamine para-tyramine mydrial uteramin naturally occurring monoamine compound trace amine derived amino acid tyrosine Tyramine act inducing release catecholamine important characteristic product impediment cross blood-brain barrier restrains side effect nonpsychoactive peripheral sympathomimetic effect report hypertensive crisis patient ingesting tyramine-rich diet conjunction monoamine oxidase inhibitor MAOIs compound belongs class organic compound known phenethylamines compound containing phenethylamine moiety consists phenyl group substituted second position ethan -- amine
Acetylcarnitine,Acetylcarnitine Acetylcarnitine investigational drug United state Italy United Kingdom China Israel Norway approved Italy Portugal Argentina Chile Philippines Australia India Acetylcarnitine synthesized also naturally found adequate amount healthy human human plasma tissue acetylcarnitine predominant acylated ester carnitine amino acid derivative made kidney liver brain lysine methionine main role acetylcarnitine help transport fatty acid mitochondrial matrix fatty acid metabolism occurs compound belongs class organic compound known acyl carnitines organic compound containing fatty acid carboxylic acid attached carnitine ester bond Acetylcarnitine approved indication United state Canada approved indicated Italy cerebrovascular disorder mental function disorder peripheral nerve disorder diabetic neuropathy nutritional supplementation Portugal mental function disorder Argentina cerebral vasculopathy nutritional supplementation peripheral neuropathy Chile dementia Philippines cerebrovascular disorder mental function disorder Australia nutritional supplementation India nutritional supplementation increase sperm count Acetylcarnitine also several potential therapeutic indication still investigated Norway acetylcarnitine phase IV trial prophylactic treatment migraine Italy acetylcarnitine phase II trial use patient type Diabetes Mellitus phase III trial alleviating fatigue patient chronic hepatitis-C use patient Minimal Hepatic Encephalopathy United States acetylcarnitine phase II trial neurodegenerative disorder Progressive Supranuclear Palsy phase II III trial reducing peripheral neuropathy cancer patient adjunct chemotherapy phase II trial treating patient septic shock phase II trial bipolar depression phase II trial reduce oxidative stress patient Sickle Cell disease phase II trial chronic fatigue syndrome study preventing nerve damage HIV patient China acetylcarnitine phase III trial reducing peripheral neuropathy cancer patient adjunct chemotherapy United Kingdom acetylcarnitine investigated preventing nerve damage HIV patient Israel acetylcarnitine studied treatment male infertility
Uric acid,Uric acid Uric acid last product purine metabolism human formation uric acid enzyme xanthine oxidase oxidizes oxypurines Normally small amount uric acid present body excess amount blood called hyperuricemia lead gout formation kidney stone therapeutic agent known uric acid increased response oxidative stress uric acid act antioxidant present August approved formulation indication uric acid one country Spain uric acid investigational drug phase trial studying effect adjunct alteplase acute ischemic stroke compound belongs class organic compound known xanthine purine derivative ketone group conjugated carbon purine moiety present August approved indication uric acid potential therapeutic use uric acid adjunct acute ischemic stroke
Oxogluric acid,Oxogluric acid Oxogluric acid α-Ketoglutarate approved indication world investigational drug United States United States phase clinical trial investigating whether oxogluric acid precursor found nutritional supplement benefit patient metabolic disorder propionic acidemia Oxogluric acid sold dietary supplement athlete improve performance helping remove excess ammonia officially approved indication experimental study shown reduction ammonia oxogluric acid hemodialysis patient Physiologically oxogluric acid act Krebs cycle intermediate involved transamination reaction metabolism amino acid form glutamic acid combining ammonia reduces nitrogen combining well Several experimental study also shown administration oxogluric acid helped attenuate decreased synthesis muscle protein often seen post-surgery compound belongs class organic compound known gamma-keto acid derivative organic compound containing aldehyde substituted keto group C4 carbon atom α-α-Ketoglutarate approved indication world investigational drug United States potential indication α-Ketoglutarate patient metabolic disorder propionic acidemia trauma patient muscle loss
Ellagic acid,Ellagic acid Ellagic acid present several fruit cranberry strawberry raspberry pomegranate pomegranate several therapeutic compound ellagic acid active abundant Ellagic acid also present vegetable Ellagic acid investigational drug studied treatment Follicular Lymphoma phase trial protection brain injury intrauterine growth restricted baby phase trial improvement cardiovascular function adolescent obese phase trial topical treatment solar lentigo Ellagic acid therapeutic action mostly involves antioxidant anti-proliferative effect compound belongs class organic compound known hydrolyzable tannin tannin structure characterized either following model model structure contains galloyl unit case shikimic acid unit linked diverse polyol carbohydrate- catechin- triterpenoid unit model contains least two galloyl unit C-C coupled contain glycosidically linked catechin unit Ellagic acid investigated use follicular lymphoma brain injury intrauterine growth restricted baby obese adolescent solar lentigo
Hydroxyproline,Hydroxyproline Hydroxyproline neutral heterocyclic protein amino acid found collagen common many gelatin product Hydroxyproline mostly used diagnostic marker bone turnover liver fibrosis Therapeutically hydroxyproline studied experimental medicine approved France combination topical gel product called Cicactive small superficial wound compound belongs class organic compound known proline derivative compound containing proline derivative thereof resulting reaction proline amino group carboxy group replacement hydrogen glycine heteroatom Used France combination product treatment small superficial wound
Guvacine,Guvacine Guvacine pyridine alkaloid found Areca nut also known Betel nut experimental drug approved indication Experimental study still investigated determine physiological effect mechanism action guvacine Currently determined guvacine specific GABA reuptake inhibitor significant affinity GABA receptor compound belongs class organic compound known alkaloid derivative naturally occurring chemical compound contain mostly basic nitrogen atom group also includes related compound neutral even weakly acidic property Also synthetic compound similar structure attributed alkaloid addition carbon hydrogen nitrogen alkaloid may also contain oxygen sulfur rarely element chlorine bromine phosphorus approved indication guvacine
Leukotriene C4,Leukotriene C4 conjugation product LEUKOTRIENE A4 glutathione major arachidonic acid metabolite macrophage human mast cell well antigen-sensitized lung tissue stimulates mucus secretion lung produce contraction nonvascular vascular smooth muscle Dictionary Prostaglandins Related Compounds compound belongs class organic compound known oligopeptides organic compound containing sequence three ten alpha-amino acid joined peptide bond
DADLE,DADLE delta-selective opioid ANALGESICS OPIOID cause transient depression mean arterial blood pressure heart rate compound belongs class organic compound known oligopeptides organic compound containing sequence three ten alpha-amino acid joined peptide bond
Pitavastatin,Pitavastatin Pitavastatin also known brand name product Livalo lipid-lowering drug belonging statin class medication inhibiting endogenous production cholesterol within liver statin lower abnormal cholesterol lipid level ultimately reduce risk cardiovascular disease specifically statin medication competitively inhibit enzyme hydroxymethylglutaryl-coenzyme HMG-CoA Reductase A181421 catalyzes conversion HMG-CoA mevalonic acid third step sequence metabolic reaction involved production several compound involved lipid metabolism transport including cholesterol low-density lipoprotein LDL sometimes referred bad cholesterol low-density lipoprotein VLDL Prescribing statin medication considered standard practice following cardiovascular event people moderate high risk development CVD Type Diabetes clear evidence benefit statin use coupled minimal side effect long term effect resulted class becoming one widely prescribed medication North America A181087 A181406 Pitavastatin drug statin class medication including atorvastatin pravastatin rosuvastatin fluvastatin lovastatin considered first-line option treatment dyslipidemia A181087 A181406 Increasing use statin class drug largely due fact cardiovascular disease CVD includes heart attack atherosclerosis angina peripheral artery disease stroke become leading cause death high-income country major cause morbidity around world A181084 Elevated cholesterol level particular elevated low-density lipoprotein LDL level important risk factor development CVD A181087 A181553 Use statin target reduce LDL level shown number landmark study significantly reduce risk development CVD all-cause mortality A181090 A181093 A181096 A181427 A181475 A181538 Statins considered cost-effective treatment option CVD due evidence reducing all-cause mortality including fatal non-fatal CVD well need surgical revascularization angioplasty following heart attack A181087 A181406 Evidence shown even low-risk individual risk major vascular event occurring within year statin cause-- relative reduction major cardiovascular event heart attack stroke coronary revascularization coronary death every mmolL reduction LDL without significant side effect risk A181397 A181403 statin medication considered equally effective clinical standpoint rosuvastatin considered potent dos 40mg rosuvastatin per day found clinical study result decrease LDL cholesterol level A181409 A181535 A181538 A1793 Study data confirmed pitavastatins potency lowering LDL-C comparable statin also increased efficacy increasing HDL-C also known good cholesterol A182000 A182003 A182006 Despite difference potency several trial demonstrated minimal difference term clinical outcome statin A181538 A181427 compound belongs class organic compound known phenylquinolines heterocyclic compound containing quinoline moiety substituted phenyl group Pitavastatin indicated treatment adult patient primary hyperlipidemia mixed dyslipidemia reduce elevated total cholesterol TC low-density lipoprotein cholesterol LDL-C apolipoprotein-B Apo-B triglyceride TG increase high-density lipoprotein cholesterol HDL-C also indicated treatment pediatric patient aged year older heterozygous familial hypercholesterolemia HeFH reduce elevated TC LDL-C Apo-B F4667 Prescribing statin medication considered standard practice following cardiovascular event people moderate high risk development CVD Statin-indicated condition include diabetes mellitus clinical atherosclerosis including myocardial infarction acute coronary syndrome stable angina documented coronary artery disease stroke trans ischemic attack TIA documented carotid disease peripheral artery disease claudication abdominal aortic aneurysm chronic kidney disease severely elevated LDL-C level A181087 A181406
Cholecystokinin,Cholecystokinin Cholecystokinin also known CCK CCK-PZ peptide hormone gastrointestinal system responsible stimulating digestion fat protein Cholecystokinin previously called pancreozymin synthesized secreted enteroendocrine cell duodenum first portion small intestine lead release bile digestive enzyme CCK also act appetite suppressant studied weight management regimen L1637 Normally endogenous hormone available commercially diagnostic process replacement pancreatic insufficiency L1646 L1647 L1648 octapeptide form Cholecystokinin one first gastrointestinal hormone discovered identified year ago due ability stimulate gallbladder contraction Soon recognized identical factor responsible stimulating pancreatic exocrine secretion L1636 hormone also shown positive effect enteric smooth muscle contraction nerve activity multiple location peripheral central nervous system addition role promoting smooth muscle cell contractionexocrine cell secretion CCK promotes cell growth energy production gene expression protein synthesis process profound drug development L1636 drug also investigated possible antipsychotic property owing effect CCK receptor brain L1638 Recent study suggested cholecystokinin also play major role inducing drug tolerance opioids morphine heroin partially implicated experience pain hypersensitivity opioid withdrawal A32101 use diagnostic aid evaluation gallbladder disorder also used conjunction secretin pancreatic insufficiency L1634
Rilpivirine,Rilpivirine Rilpivirine non-nucleoside reverse transcriptase inhibitor NNRTI used treatment HIV- infection treatment-naive patient A31328 diarylpyrimidine derivative A31329 internal conformational flexibility rilpivirine plasticity interacting binding site give high potency reduces chance resistance compared NNRTIs A31331 Rilpivirine developed Tilbotec Inc FDA approved May L1030 November Rilpivirine combination dolutegravir approved part first complete treatment regimen two drug treatment adult HIV- named Juluca L1031 Rilpivirine combination cabotegravir granted FDA approval January L31193 previously administered once-monthly combination product granted FDA approval dosing every two month February L40084 without need oral lead-in period prior L31193 compound belongs class organic compound known benzonitriles organic compound containing benzene bearing nitrile substituent Rilpivirine combination agent indicated treatment HIV- infection antiretroviral treatment-naive patient HIV- RNA-≤ copiesmL CD4 cell count cellsmmsup3sup L1030 FDA combination therapy approval rilpivirine dolutegravir indicated adult adolescent year age older weighing least kg HIV- infection whose virus currently suppressed copiesml stable regimen least six month without history treatment failure known substitution associated resistance two component therapy L1031 Rilpivirine combination cabotegravir indicated complete regimen treatment HIV- infection adult adolescent-- ≥ year old weighing least 35kg-- replace current antiretroviral regimen virologically suppressed HIV- RNA copiesmL stable antiretroviral regimen history treatment failure known suspected resistance either cabotegravir rilpivirine L31193
Crizotinib,Crizotinib Crizotinib tyrosine kinase receptor inhibitor used treatment anaplastic lymphoma kinase ALK ROS1-positive non-small cell lung cancer NSCLC tumor well ALK-positive anaplastic large cell lymphoma ALCL inflammatory myofibroblastic tumor IMT L42460 targeting echinoderm microtubule-associated protein-like EML4-ALK fusion protein crizotinib offer robust effectiveness treating NSCLC patient type rearrangement A250785 Crizotinib first-in-class drug used treat ALK-positive tumor Second- third-generation ALK-tyrosine kinase-inhibitors overcome many pharmacodynamic genetic resistance mechanism crizotinib prone A250785 Crizotinib approved FDA use accompanied FDA-approved test used detect ALK ROS1 rearrangement L42460 compound belongs class organic compound known pyrazolylpyridines compound containing pyrazolylpyridine skeleton consists pyrazole linked fused pyridine bond Crizotinib kinase inhibitor indicated treatment patient metastatic non-small cell lung cancer NSCLC whose tumor anaplastic lymphoma kinase ALK ROS1-positive detected FDA-approved test L42460 Crizotinib also indicated treatment relapsed refractory systemic anaplastic large cell lymphoma ALCL ALK-positive pediatric patient year age older young adult safety efficacy crizotinib established older adult relapsed refractory systemic ALK-positive ALCL L42460 Additionally crizotinib indicated treatment adult pediatric patient year age older unresectable recurrent refractory inflammatory myofibroblastic tumor IMT ALK-positive L42460
Ulipristal,Ulipristal Ulipristal selective progesterone receptor modulator used purpose emergency contraception Ella treatment uterine fibroid Fibristal derivative -norprogesterone antagonistic partial agonist activity progesterone receptor also bind glucocorticoid receptor however compared mifepristone progesterone receptor antagonist ulipristal tolerable lower glucocorticoid activity better binding affinity Ulipristal currently recommended first line therapy emergency contraception due improved efficacy similar side effect profile compared traditional use levonorgestrel Yuzpe regimen exact mechanism action ulipristal still currently debated though evidence function inhibiting ovulation recent systematic review proclaimed majority available evidence demonstrates inhibitory effect ovulation rather post-fertilization effect endometrium heavily debated due ethical concern related abortion Rosato et al Nevertheless current ongoing research agent mechanism action emergency contraceptive continue provide potentially plausible evidence ulipristal may fact elicit activity endometrium prevents embryo implantation A175372 A175375 A175378 compound belongs class organic compound known -oxosteroids steroid derivative carrying CO group -position steroid skeleton product Ella available Canada US ulipristal indicated use emergency contraception unprotected intercourse possible contraceptive failure administered within hour day unprotected intercourse known suspected contraceptive failure product Fibristal available Canada ulipristal indicated treatment sign symptom uterine fibroid adult woman
Fingolimod,Fingolimod Multiple sclerosis MS devastating inflammatory disease often progress cause severe neurological physical cognitive effect A176474 Fingolimod sphingosine -phosphate receptor modulator treatment relapsing-remitting multiple sclerosis developed Novartis initially approved FDA L12651 Fingolimod also studied treatment COVID- disease caused infection SARS-CoV- virus L12654 L12657 compound belongs class organic compound known aralkylamines alkylamines alkyl group substituted one carbon atom aromatic hydrocarbyl group Fingolimod indicated treatment patient aged relapsing form multiple sclerosis may include clinically isolated syndrome relapsing-remitting disease well active secondary progressive disease L12651 L44346
Tesamorelin,Tesamorelin Tesamorelin stabilized synthetic peptide analogue hypothalamic peptide Growth Hormone Releasing Hormone GHRH indicated reduction excess abdominal fat HIV-infected patient lipodystrophy Lipodystrophy metabolic condition characterized insulin resistance fat redistribution hyperlipidemia associated antiretroviral therapy HIV infection Tesamorelin acetate synthetic analogue human hypothalamic Growth Hormone Releasing Factor hGRF indicated induce maintain reduction excess abdominal fat HIV-infected patient lipodystrophy
Brentuximab vedotin,Brentuximab vedotin Brentuximab vedotin also known Adcetris® antibody-drug conjugate combine anti-CD30 antibody drug monomethyl auristatin-E MMAE anti-neoplastic agent used treatment Hodgkins lymphoma systemic anaplastic large cell lymphoma Brentuximab vedotin initially approved January drug label revised boxed warning condition known progressive multifocal leukoencephalopathy death due opportunistic JC virus infection post treatment L1737-U Food Drug Administration approved Adcetris March treat adult patient previously untreated stage III IV classical Hodgkin lymphoma cHL combination chemotherapy L1737 Adcetris also previously approved FDA treat Hodgkins lymphoma relapse Hodgkins lymphoma stem cell transplantation patient high risk relapse progression systemic anaplastic large cell lymphoma ALCL failure treatment regimen primary cutaneous ALCL failure treatment regimen L1737 Lymphoma malignancy begin lymphatic system help combat infection disease Lymphoma may begin anywhere body spread nearby lymph node two main type lymphoma Hodgkin lymphoma also called Hodgkin disease non-Hodgkin lymphoma individual Hodgkins lymphoma classical type type lymphoma large abnormal lymphocyte type white blood cell found lymph node called Reed-Sternberg cell early diagnosis intervention patient Hodgkin lymphoma normally experience long-term remission L1737 ECHELON- study result demonstrated superior efficacy drug combined chemotherapy regimen compared previous standard care Importantly removing drug bleomycin highly toxic agent completely removed regimen demonstrates meaningful progress treatment patient affected disease L1739 Brentuximab vedotin indicated adult patient treatment previously untreated stage III IV classical Hodgkins lymphoma cHL combination doxorubicin vinblastine dacarbazine also indicated treatment cHL post-autologous hematopoietic stem cell transplantation auto-HSCT patient high risk relapse progression Finally may used treatment adult patient cHL previously failed either auto-HSCT least two prior multi-agent chemotherapy regimen candidate auto-HSCT L39789 Brentuximab vedotin additionally indicated treatment previously untreated systemic anaplastic large cell lymphoma sALCL CD30-expressing peripheral T-cell lymphoma PTCL combination cyclophosphamide doxorubicin prednisone may also used monotherapy sALCL therapeutic failure least one prior multi-agent chemotherapy regimen L39789 Brentuximab vedotin also indicated treatment primary cutaneous large anaplastic large cell lymphoma CD30-expressing mycosis fungoides received prior systemic therapy L39789
Eribulin,Eribulin Eribulin microtubule inhibitor indicated treatment patient metastatic breast cancer previously received least two chemotherapeutic regimen treatment metastatic disease Eribulin isolated marine sponge Halichondria okadai Eribulin also investigated use treatment advanced solid tumor A7439 treatment patient metastatic breast cancer previously received least two chemotherapeutic regimen treatment metastatic cancer
Gabapentin enacarbil,Gabapentin enacarbil Gabapentin enacarbil marketed name Horizant prodrug gabapentin indicated adult treatment Restless Legs Syndrome RLS postherpetic neuralgia PHN compound belongs class organic compound known gamma amino acid derivative amino acid -NH2 group attached gamma carbon atom treatment adult Restless Legs Syndrome RLS postherpetic neuralgia PHN
Boceprevir,Boceprevir Boceprevir direct acting antiviral medication used part combination therapy treat chronic Hepatitis-C infectious liver disease caused infection Hepatitis-C Virus HCV HCV single-stranded RNA virus categorized nine distinct genotype genotype common United States affecting chronic HCV patient L852 Treatment option chronic Hepatitis-C advanced significantly since development Direct Acting Antivirals DAAs Boceprevir Boceprevir inhibitor NS34A serine protease enzyme encoded HCV genotype synthesis enzyme essential viral replication serve cleave virally encoded polyprotein mature protein like NS4A NS4B NS5A NS5B FDA Label barrier develoment resistance NS34A inhibitor lower NS5B inhibitor another class DAAs A19593 Subtitutions amino acid position known confer resistance substitution enzyme catalytic triad consisting H58 D82 S139 also likely alter affinity drug NS34A activity enzyme Despite disadvantage Boceprevir still effective HCV paired DB00811 DB00008 DB00022 joint recommendation published American Association Study Liver Diseases AASLD Infectious Diseases Society America IDSA reccomend Boceprevir combination DB00811 DB00008 DB00022 first line therapy Hepatitis-C A19593 Boceprevir DB00811 DB00008 DB00022 used intent cure achieve sustained virologic response SVR week daily therapy SVR eradication HCV infection associated significant long-term health benefit including reduced liver-related damage improved quality life reduced incidence Hepatocellular Carcinoma reduced all-cause mortality A19626 Boceprevir available fixed dose product tradename Victrelis used treatment chronic Hepatitis-C Approved May FDA Victrelis indicated treatment HCV genotype combination DB00811 DB00008 DB00022 FDA Label Victrelis longer widely used interferon-free therapy developed compound belongs class organic compound known hybrid peptide compound containing least two different type amino acid alpha beta gamma delta linked peptide bond Boceprevir used combination DB00811 DB00008 DB00022 indicated use treatment chronic HCV genotype infection adult FDA Label
