id,name_tejary,goroh_daroei,goroh_darmani,name_farsi,shekl_daroei,masraf_hamelegi,mavared_masraf,mizan_masraf,mavared_mane,avarez_janebi,tavajohat,amozesh,description,sharayet_negah,nokte
213,Cephulac,دی ساکارید,اسهال آور,لاکتولوز,شربت,گروه C,"ضد یبوست- عوارض کبدی ناشی از کومای کبدی و پیشگیری از عوارض مغزی آن , آنسفالوپاتی کبدی مفید است.",30 تا 50 سی سی 3 تا 4 بار در روز,"در انسداد روده , در حامله ها و شیر دهی","اسهال و اختلالات الکترولیتی , درد شکم , تهوع , آروغ , استفراغ",الکترولیت های بیمار کنترل شود.نئومایسین اثر بخشی آن را افزایش می دهد.,چون طعم آن خوشایند نیست همواره با آب یا آّ میوه میل شود. دارو طی 1 تا 2 روز اثر می کند و اسهال ایجاد می کند.,LACTULOUSE,در دمای اتاق نگهداری شود.,---
214,Isoptin,دی فنیل آلکیل آمین,ضد فشار خون,وراپاميل,قرص و نوع تزریقی,گروه C,"درد قلبی, فشار خون , بی نظمی  قلبی ( به ویژه آریتمی PAT)",بستگی به نوع آریتمی قلبی دارد.,مشکلات هدایتی قلب ( بلوک درجه 2 یا 3),"تپش قلب , سرگیجه , اختلال خواب , اختلال دید , دماتیک ( ضایعات پوستی) , دل درد, خشکی دهان , درد عضلانی و اشکالات تنفسی",کنترل علائم حیاتب ضروری است. نوار قلبی باید گرفته شود.,در صورت تنگی نفس به پزشک اطلاع دهید.  دارو را همراه غذا میل کنید.,VERAPAMIL,در دمای اتاق نگهداری شود.,عارضه (PAT ) یک بی نظمی قلبی است که به علت افزایش تعدا  ضربان قلب بروز می کند و این دارو در مراکز درمانی بسیار موثر است.
215,Dolophine,دی فنیل هپتان,"ضد درد , مخدر صناعی",متادون,قرص و آمپول,گروه B,"در شدید , سندرم محرومیت از مخدر ها",2.5 تا 10 میلی گرم هر 3 تا 4 ساعت,"در حساسیت شدید دارویی , مامایی ( حین زایمان)","مهار تنفسی , خواب آلودگی , تحریکات موضعی پوست",بهتر است دارو عضلانی (IM) تزریق شود. احتمال کاهش فشار خون وجود دارد.,"یبوست , خشکی دهان ,و خواب آلودگی محتمل است.",METHADON,در دمای معمولی نگهداری شود.,---
216,Degas,دی متیل سیلوکسان ها,ضد نفخ,دايمتيکون,قرص و قطره,"گروه بدون مطالع , و برای شیر دهی بی خطر است.","نفخ شکم , درمان کمکی در زخم معده , روده تحریک پذیر , عدم تحمل به لاکتوز",3 تا 4 قرص 3 بار در روز پس از غذا جویده شود.,مورد خاصی وجود ندارد.,عارضه خاصی وجود ندارد.,این دارو قبل از آندسکوپی یا رادیوگرافی روده مفید است.,وعده شب دارو بهتر است هنگام خواب استفاده شود.,DIMETHICON,در دمای معمولی نگهداری شود.,---
217,Dettol,دی متیل فنل,ضد عفونی کننده ها,کلوروکسيلنول,محلول موضعی,گروه D,ضد عفونی زخم,برای شست و شوی زخم ها و خراش های سطحی,حساسیت شدید,تحریکات پوستی در غلضت های بالا,روی میکروب های شایع مثل استاف اثر کمی دارد.,دارو ممکن است در زمان مصرف به میکروب آلوده شود.,CHLOROXYLENOL,در دمای معمولی اتاق نگهداری شود.,---
218,Taloxa,دی کاربامات,ضد تشنج,فلبامات,قرص 400 میلی گرمی,گروه C,این دارو به دلیل عوارض جدی فقط در موارد خاص تشنج های مقاوم کاربرد دارد.,"اگر کنترل بیمار , تک دارویی باشد یک قرص تا 3 بار در روز","حساسیت شدید دارویی, اختلالات خونی , نارسایی کبدی","سر درد , بی خوابی , استفراغ و عوارض نادر آن کم خونی و نارسایی حاد کبدی , رفتار تهاجمی و عوارض شدید گوارشی و چشمی می باشد.",انجام آزمایشهای خونی ضروری است.از مصرف همزمان داروهای اعصاب مرکزی جلوگیری کنید.الکترولیت های خون اندازه گیری شود.,علائم مسمومیت را به بیمار گوشزد کنید.( ناراحتی گوارشی و زیادی تعداد ضربان قلب ) . وزن بیمار را کنترل کنید.,FELBAMATE,در دمای اتاق نگهداری شود.,---
219,Furamid,دی کلرواستامیدها,"ضد انگل , ضد آمیب",ديلوکسانيد,قرص 500 میلی گرمی,مطالعه نشده است.,ضد آلودگی انگلی با آمیب می باشد.در آلودگی باکیست هم مفید است.,یک قرص سه بار در روز به مدت 10 روز,حساسیت شدید دارویی,"تهوع , درد شکمی , خارش , اسهال",دوره درمان را میتوان تکرار کرد.,دارو بهتر است همراه غذا میل شود.,DILOXANIDE,در دمای معمولی نگهداری شود.,---
220,Dyazide,دیورتیک,دیورتیک-ادرار آور(مدر),تريامترن-اچ,قرص,گروه B,"تورم عمومی بدن (ادم) ناشی از نارسایی قلبی, نارسایی کبدی , فشار خون , درمان کاهش پتاسیم خون",100 تا 300 میلی گرم روزانه,"حساسیت شدید دارویی ,نارسایی کبدی-کلیوی, هیپرکالمی","سردرد, تهوع , خشکی دهان , سنگ کلیوی, کم خونی, حساسیت به نور, ضایعات جلدی , یبوست",وزن بیمار را مرتب کنترل کنید. سطح پتاسیم خون را اندازه بگیرید.,دارو را بعد از غذا میل کنید.,TRIAMTEREN-H,در دمای اتاق نگهداری شود.,---
221,Esidrex,دیورتیک,"ضد فشار خون , ضد سنگ سازی در کلیه ها",هيدروکلروتيازيد,قرص,گروه B,"در درمان فشار خون , اختلالات کبدی , نارسایی کلیه , ادم عمومی , قبل از قاعدگی",نصف تا یک قرص کامل و در صورت نیاز به میزان 2 قرص در روز قابل افزایش است.,"حساسیت شدید دارویی , عدم توانایی بیمار در ادرار کردن(آنوری)","زردی , از دست رفتن آب بدن , نارسایی کلیه , ترومبوسیتوپنی , اگرالوسیتوز , کاهش میل جنسی , ضایعات جلدی , پر ادراری - شب ادراری","وزن و فشار خون بیمار را کنترل کنید. تهوع , استفراغ , و ضعف عمومی و تشنج احتمال مسمومیت را مطرح می کند.",دارو باعث کاهش فشار خون می شود.تغییر وضعیت را در نظر بگیرید. دارو با غذا میل شود.,HYDRO CHLOROTHIAZID,در جای خشک و دور از نور نگهداری شود.,بیمار مستعد حساسیت به نور می شود.
222,Hygroton,دیورتیک,"ضد فشار خون , ادرار آور",کلرتاليدون,قرص 100 میلی گرمی,گروه B,"ادم ناشی از نارسایی قلبی , اختلالات کبدی و فشار خون بالا  و ورم قاعدگی","1 تا2 قرص روزانه , هرچند در فشار خون می توان نصف قرص را هم استفاده کرد.","حساسیت شدید دارو , عدم توانایی در ادرار کردن (آنوری)","عوارض خونی و التهابی پانکراس, تحریک معده , تعوع , استفراغ , اسهال و ضایعات جلدی",علائم حیاتی بیمار را اندازه گیری و ثبت کنید.,یبوست جزء عوارض دارو می باشد..غذاهای حاوی فیبر مثل سبزی و میوه مصرف کنید. از رانندگی اجتناب کنید.از مصرف الکل اجتناب کنید.,CHLORTHALIDONE,در دمای معمولی اتاق نگهداری شود.,---
223,Lasix,دیورتیک,ضد فشار خون,فورسمايد,قرص و تزریقی,گروه C,"کنترل فشار خون , نارسایی مزمن کلیوی , سیروز کبدی , نارسایی احتقانی قلب",0.5 تا یک قرص روزانه استفاده شود.  در ادم ریوی شدید به صورت وریدی با یک آمپول شروع و اثر آ« بررسی می شود.در فشار خون حداکثر میزان مصرف 600 میلی گرم در روز است.,حساسیت شدید دارویی و افرادی که امکان ادرار کردن ندارند.( آنوری دارند),"سردرد , سرگیجه , تاری دید , دل درد , اسهال , بی اشتهایی , اختلال الکترولیت ها , زردی , ضایعات پوستی , مشکلات خونی و نارسایی کبد",این دارو ادرار آور سریع الاثر است.,بیمار باید وزن شود. در صورت تهوع یا استفراغ شدید به پزشک اطلاع دهید.,FUROSEMIDE,دور از نور و در دمای اتاق نگهداری شود.,---
224,Austra,دیورتیک ها ( ادرار آور ها),ضد گلوکوم ( آب سیاه چشم ),مانيتول,تزریقی 10 یا 20 درصد,گروه C,"در ایجاد ادرار بیشتر ( دیورزاسموتیک ) , در نارسایی حاد کلیه , برای کاهش فشار داخل جمجمه , میوگلوبینوری ناشی از سوختگی ( برق گرفتگی)  در اثر برق گرفتگی ناشی از سلول های خونی از  طریق ادرار دفع می شوند.",بر حسب مورد متفاوت است.,"حساسیت شدید دارویی , ادم ریوی , نارسایی قلبی و کمبود مایعات در بدن ( دهیدراتاسیون)","اسهال , تشنج , سردرد , سرگیجه , نارسایی قلبی , درد قفسه سینه , تاری دید , تشنگی , تهوع , کهیر , کاهش یا افزایش فشار خون",علائم حیاتب بیمار باید کنترل شود.وزن و عملکرد کلیه بیمار کنترل شود.,در صورت درد سینه یا سر درد شدید به پزشک اطلاع دهید.,MANITOL,در دمای معمولی نگهداری شود.,---
225,Moduretic,دیورتیک ها (مدر),ضد فشار خون,آمیيورايد,قرص,گروه B,فشار خون (هیپرتانسیون) و ادم (تورم عمومی) ناشی از نارسایی قلبی,روزانه یک قرص (خوراکی) و حداکثر 4 قرص روزانه,"حساسیت دارویی , بیمارانی که دچار افزایش پتاسیم خون هستند , زیرا این دارو نگهدارنده پتاسیم می باشد..نارسایی کلیه به ویژه بیماران مبتلا به دیابت (قندی)","سردرد , ضعف , افزایش پتاسیم (k) خون , درد عضلانی , ناتوانی جنسی , درد شکمی , کاهش فشار خون وضعیتی , یبوست",سطح پتاسیم و عملکرد کلیه باید کنترل شود. در سالمندان باید نوار قلب گرفته شود.,دارو را به همراه غذا مصرف کنید . دارو بهتر است صبح ها مصرف شود چون حجم و دفعات ادرار را زیاد میکند. مصرف آ« در شبها موجب اختلال در خواب بیمار می شود . بیمار از مصرف غذا های حاوی پتاسیم پرهیز کند . به علت عارضه سرگیجه  بیمار رانندگی نکند.,AMILORIDE-H,در دمای 15 تا  30 درجه نگهداری شود.,---
226,Edcrin,دیورتیک های لوپ کلیه,"ضد فشار خون , ضد هیپرکلسمی",اتاکرينيک اسيد,قرص 50 میلی گرمی,گروه B,"ادم ناشی از نارسایی قلبی , اختلال کبدی و بیماری کلیوی",1 تا 4 قرص در روز,حساسیت شدید دارویی و کسانی که قادر به ادرار کردن نیستند.(آنورل),"خونریزی از معده - روده , کاهش پتاسیم و کلر بدن , خستگی و ضعف, سردرد , مشکلات بینایی و شنوایی",میزان مایعات دریافتی و بدون برون ده ادراری را اندازه گیری کنید.در صورت اسهال شدید دارو را قطع کنید.,قند خون بیمار باید کنترل شود. وزن بیمار باید اندازه گیری شود.,ETHACRYNIC ACID,در دمای 15 تا  30 درجه نگهداری شود.,---
227,Tegison,رتینوئید ها,ضد پسوریازیس,اترتينت,کپسول 10 و 25 میلی گرمی,گروه X,پسوریازیس مقاوم,1 میلی گرم به ازای هر کیلوگرم از وزن بدن بیمار در روز و در انواع شدید میزان دارو افزایش یابد.,"حساسیت شدید دارویی, زنان حامله و کودکان","درد شکم , تهوع , خارش , خشکی بینی , پوسته ریزی , افزایش حساسیت به نور, هپاتیت , اختلالات چشمی , سرگیجه , اضطراب , عفونت گوش , تب , خشکی دهان",نباید همزمان داروی حاوی الکل یا ترکیبات ضد عرق تجویز نمود.اثر پلاسمایی افزایش تری گلیسیریددر این دارو افزایش می یابد.,هر گونه مشکلات بینایی در حین درمان به پزشک اطلاع داده شود. به بیمار آموزش داده شود که دارو را با غذا و سیر چرب مصرف کند. بیمار نباید در طول درمان و چند سال بعد آن خون اهدا کند.به علت اختلال در چشم از رانندگی خودداری کنید.,ETRETINATE,در دمای اتاق نگهداری شود.,---
228,Accutant,رتینول ( ویتامین A),ضد آکنه,ايزوترتينوئين,کپسول 20 میلی گرمی,گروه X,"آکنه شدید و مقاوم به درمان , التهاب فولیکول های مو , عفونت غدد چربی پوست",1 تا 2 کپسول 2 تا 3 بار در روز,"حساسیت شدید دارویی , کم خونی , بیماری های خونی , حاملگی , دیابت قندی","سر درد , تهوع , استفراغ , عوارض پوستی , خارش در عضلات , اختلالات خونی , بالا بودن آنزیم های کبدی",مدت درمان 5 تا 6 ماه می باشد. احتمال افزایش فشار داخل مغزی وجود دارد. تست های اسید اوریک و کبد و چربی خون مختل می شود.,در صورت هرگونه سردرد شدی و تهوع به پزشک اطلاع دهید. در ابتدای درمان آکنه بدتر می شود.به علت عوارض دارو در حاملگی تا یک ماه بعد از قطع دارو حامله نشوید و در طول این مدت نیز خون اهدا نکنید.,ISOTRETINOIN,در دمای اتاق نگهداری شود.,---
229,Cade Oil,روغن های پوستی,ضد عفونی کننده ها و ضد خارش پوست,روغن کاد,"توده حجیم (پماد , شامپو)  ,  فله",مطالعه نشده,"در درمان موضعی اگزما , خارش و شوره سر استفاده می شود.",پماد موضعی 1 تا 2 بار روزانه,مورد خاصی ندارد.,جوش و کورک موضعی ایجاد می کند.,روی زخم نباید استفاده شود.,این دارو نباید با چشم در تماس باشد.,CADE OIL,در جای خشک و معمولی و دور از نور  نگهداری شود.,---
230,Adecaps,روغن کبد تازه ماهی,ویتامین های ضروری و محلول در چربی (A.D),روغن کبد ماهي,روغن,بررسی نشده است.,نوع موضعی در درمان ضایعات پوستی و زخم های بستر استفاده می شود.این روغن حاوی ویتامین های A و D و اسید چرب ضروری می باشد.,یک تا چند بار در روز به صورت موضعی,مورد خاصی وجود ندارد.,عارضه خاصی گزارش نشده است.,دلایل و گزارش های علمی برای اثر بخشی آن وجود ندارد.,این دارو موضعی در بهبود زخم ها و خراش های پوستی به کار می رود.,COD LIVER OIL,در شرایط و دمای معمولی و جای خشک نگهدارید و بعد از 10 روز محلول (شربت) آن را دور بریزید.,---
231,Rimacatane,ریفامایسین - B,ضد سل - ضد جذام,ريفامپين,"کپسول , تزریقی , قطره خوراکی",گروه C,"عفونت های سلی , جذام , عفونت استخوانی , تب مالت (بروسلوزیس), مننژیت ( عفونت پرده مغز)",10 میلی گرم به ازای هر کیلوگرم یک بار در روز ( حداکثر روزانه 600 میلی گرم),"حساسیت شدید دارویی , نارسایی کبدی و افراد الکلی","تهوع , استفراغ , بی اشتهایی , دل درد , اسهال , زردی , علائم شبیه آنفولانزا",یرقان بیمار خود به خود بهبود می یابد ولی انجام تست های کبدی ضروری است و باید به پزشک اطلاع داده شود.,"قطع  یا ادامه پس از قزع دارو به صورت خودسرانه ممنوع است. این دارو یاعث تغییر رنگ ادرار , مدفوع , خلط و حتی اشک می شود.",RIFAMPIN,در دمای اتاق نگهداری شود.,---
232,Charcocaps,زغال فعال,"ضد مسمومیت , ضد التهاب",شارکول فعال,"قرص , محلول , پودر",گروه A,"مسمومیت های دستگاه گوارش  , نفخ , پوشش زخم بد بو , درمان خارش در نارسایی کلیه",برای سم زدایی در معده و روده 1 تا 2 گرم به ازای هر کیلوگرم وزن بدن,دو موردی که ضد سم خوراکی مثل میتیونین استفاده شده ممنوع است.,"استفراغ , اسهال و یبوست",این دارو در درمان مسمومیت با نفت تاثیری ندارد. بهتر است دارو طی 30 دقیقه پس از مسمومیت مصرف شود.,می توان دارو را با آب میوه مصرف کرد. در موارد اورژانس محلول با آب معمولی تهیه و مصرف شود.,CHATCOAL ACTIVATED,در دمای معمولی اتاق نگهداری شود.,---
233,Aspriin,سالیسیلات,"ضد درد , ضد تب , ضد التهاب , مانع تجمع پلاکت های خونی",استيل ساليسيليک اسيد,"قرص , شیاف",گروه D,"آرتریت (التهاب مفاصل) , درد خفیف , تب , حمله مغزی , حمله قلبی","در انواع بیماری ها میزان مصرف متفاوت است  مثلا در آرتریت مفاصل 2.6 تا 5.2 گرم از راه خوراکی , در تب 325 تا 650 میلی گرم و در پیش گیری از حملات مغزی 650 میلی گرم خوراکی 2 بار در روز","در کودکان مبتلا به آبله مرغان و حساسیت مفرط و در آسم , حساسیت به پوره سیب زمینی و مبتلایان به کهیر مزمن و زخم گوترشی و خونریزی معده و روده ممنوع است ولی در 3 ماهه سوم حاملگی می توان با احتیاط مصرف کرد, در بیماری کبدی با احتیاط مصرف شود.","راش , وزوز گوش , کاهش شنوایی , خونریزی گوارشی کلیوی , مشکل انعقادی , علائم کبدی",حتما همراه دارو شربت معده  یا آب میوه یا یک لیوان آب تجویز کنید . قرص های پوشش دار نباید جویده شود.,"دارو دور از دسترس کودکان قرار گیرد . در صورت بروز خونریزی از لثه و دستگاه گوارش به پزشک مراجعه شود , دارو با معده خالی مصرف نشود.",A . S . A,در دمای 15 تا  30 درجه نگهداری شود.,---
234,Calmycin,سالیسیلات,ضد درد موضعی,منتول ساليسيلات,پماد موضعی,گروه C,تسکین  درد های موضعی و در عضلات و اسکلت,ضبح و شب به صورت موضعی مالیده شود.,واکنش حساسیتی,ضایعاات التهابی و واکنش موضعی بر روی پوست محل استفاده,در کودکان زیر 6 سال استفاده نشود.,"پس از احساس گرما , احساس بی دردی ایجاد می شود.بر روی نقاط زخمی و ملتهب و خراشیده مالیده نشود.",MENTHOL SALICYLATE,در دمای معمولی نگهداری شود.,---
235,Aspirin,سالیسیلات ها,"ضد درد , ضد تب , ضد التهاب , مانع تجمع پلاکت های خونی",آسپيرين,قرص و شیاف,گروه D,"درد , آرتریت (دردهای مفصلی) , ضایعات آمبولی (لخته های خون در عروق ) و حملات با نارسایی عروق مغزی , برای بیماران قلبی به منظور پیشگیری از لخته های پلاکتی","در بیماری های مختلف متفاوت است .  در پیشگیری از بیماری های قلبی در یک قرص 100 میلی گرمی , در آرتریت تا میزان بالای 4 تا 8 گرم روزانه","آسم , افراد دارای سابقه کهیر یا حساسیت شدید , فاویسم ( کمبود GOPD) , اختلالات خونریزی دهنده , کودکان مبتلا به آبله مرغان و در نارسایی کلیه و کبد.","مشکلات گوارشی , تهوع , خونریزی از معده , نارسایی کلیوی , وزوزگوش",آزمایشهای اولیه کبد و کلیه باید انجام شود. وضع خونی بیمار باید کنترل شود. در صورت بروز علائم خارش و زردی یا کهیر دارو را قطع کنید.,خونریزی یا تغییر رنگ مدفوع (قیری شدن مدفوع) را اطلاع دهید.دارو را با شیر میل کنید. آسپیرین را بهتر است 30 دقیقه قبل از غذا یا 2 ساعت بعد از غذا مصرف کنید.,A.S.A,دارو در دمای معمولی اتاق نگهداری شود.,دارو دارای خاصیت ضد درد بیشتری است و عوارض و توهات
236,Niclicide,سالیسیلانیلید,ضد انگل ( کرم ),نيکلوزاميد,قرص جویدنی,گروه B,در درمان کرم های نواری مثل تینیا ( ساژیناتایاسولیوم),2 گرم یک بار بعد از صبحانه ( فقط),حساسیت شدید دارویی و سیستی سرکوزیس منع مصرف دارد.,"تهوع , استفراغ, سرگیجه , اسهال , ریزش مو, تورم  بازو , کمر در , کهیر , احساس سردرد شدید",برای اثر بخشی  دارو به فاصله یک ماه و سه ماه آزمایش مدفوع انجام شود. آزمایشهای کبدی انجام شود.,این قرص باید خوب جویده شود. هر گونه سرگیجه شدید را به پزشک اطلاع دهید.,NICLOSAMID,در دمای 15 تا  30 درجه نگهداری شود.,---
237,Diprivan,سدایتو ها,دارو های کمک بیهوشی,پروپوفول,تزریقی,گروه B,"برای القا  بیهوشی عمومی(سریع الثر و کوتاه الثر) , استفراغ",بسته به وضعیت بیمار تعیین می شود.,"حساسیت شدید دارویی , صرع , سالمندان و در فردی که فشار داخل مغزی بالایی دارد, منع مصرف دارد.","ایست قلبی, ریوی, کاهش فشار خون, درد و سوزش  محل تزریق , کهیر , خشکی  دهان , احتباس ادراری , تغییر رنگ پوست , سرفه , سوزش گلو , اختلال شنوایی و بینایی , احساس سرما و لرز , تشنج  و خواب آلودگی",در سالمندان با احتیاط تجویز شود.خطر مصرف دراز مدت آن چربی خون می باشد. پروپوفول را همزمان با خون و پلاسما از راه یک ورید تجویز نکنید.,مثل دیگر گاز های بیهوشی توجهات ویژه لازم دارد.,PROPOFOL,در دمای 5 تا 22 درجه نگهداری شود. الزاما در یخچال نگهداری نشود.,---
238,Keflex,سفاوسپورین نسل اول,آنتی بیوتیک,سفالکسين,کپسول و شربت,گروه B,"عفونت های تنفسی , عفونت های گوش میانی , عفونت های پوستی استخوان و مفاصل و عفونت ادراری - تناسلی",روزانه 1 تا 4 گرم : هر 6 ساعت 250 تا 500 میلی گرم  معمول است.,حساسیت شدید به پنی سیلین ها,"آلرژی , کهیر , اسهال , خارش",در صورت مصرف طولانی مدت عملکرد کلیه و کبد کنترل شود.  بیمار از نظر واکنش آلرژیک مانند خارش و کهیر بررسی شود.,هر گونه علائم نشان دهنده حساسیت را به پزشک اطلاع دهید. دارو را در ساعات معین مصرف کنید.,CEPHALEXIN,کپسول را در یخچال نگهداری کنید و پودری را که با مایع حل شده است را فقط 14 روز می توان در یخچال نگهداری کرد.,---
239,Keflin,سفاوسپورین نسل اول,آنتی بیوتیک,سفالوتين,ویال یک گرمی,گروه B,"مسمومیت , عفونت های ادراری , عفونت ریوی (پنومونی) عفونت استخوانی(استئومیلیت)",500 میلی گرم تا 2 گرم هر 4 تا 6 ساعت,"حساسیت شدید , افراد مستعد خونریزی,ولی در افراد با سابقه کم خونی و تشنج یا مشکلات کلیوی با احتیاط مصرف شود.","واکنش حساسیتی , کهیر , راش , تهوع , اسهال , تحریک معده , درد محل تزریق , مشکلات خونی , نارسایی کلیه",هر گونه کاهش ادرار باید مورد توجه قرار بگیرد . تب به همراه اسهال بسیار مهم است.  داروی آماده تزریق به مدت 4 روز در یخچال قابل نگهداری است.,اسهال و  هر گونه تب بعد از درمان را به پزشک اطلاع دهید. استفاده از دوغ یا ماست زمینه بروز عفونت ثانویه را در تغییر میکروب های عادی روده از بین می برد.کبود شدن پوست را اطلاع دهید.,CEPHALOTIN,در دمای معمولی اتاق نگهداری شود.,---
240,Kefzol,سفاوسپورین نسل اول,آنتی بیوتیک,سفازولین,آمپول(ویال),گروه B,"عفونت های تنفسی , دستگاه ادراری , پوستی , مجاری صفراوی , عفونت خون (سپتی سمی), عفونت دریچه قلبی و پیشگیری قبل از عمل",250 تا 500  میلی گرم هر 8 ساعت وریدی یا 500 تا 1000 میلی گرم هر 6 تا 8 ساعت عضلانی,حساسیت شدید به گروه  پنی سیلین ها,"واکنش حساسیت , عوارض کلیوی , عوارض خونی , توهم , تشنج",بیمار  بعد از مصرف سفالوسپورین مستعد خونریزی می شود.,هر گونه خون دماغ شدن را به پزشک اطلاع دهید. هر گونه اسهال و علائم عفونت ثانویه را اطلاع دهید.,CEFAZOLIN,در دمای معمولی نگهداری شود.,---
241,Velosef,سفاوسپورین نسل اول,آنتی بیوتیک,سفرادين,"کپسول, ویال , شربت",گروه B,"عفونت ریه , گلودرد چرکی , عفونت گوش میانی , عفونت پوستی , پیشگیری از عفونت در جراحی","250 تا 500 میلی گرم هر 12 ساعت و در انواع شدید عفونت, 1 گرم هر 6 ساعت",حساسیت شدید به پنی سیلین ها,"آلرژی , کهیر , اسهال , خارش",دریافت شرح حال از سابقه بیمار در حساسیت به پنی سیلین ها مهم است.,دوره درمان را کامل کنید. بروز اسهال و تب را به پزشک معالج اطلاع دهید.,CEPHRADINE,پودر  در دمای  15 تا  30 درجه نگهداری شود.,---
242,Cafizox,سفاوسپورین نسل سوم,آنتی بیوتیک,سفتي زوکسيم,ویال 0.5 و 1 میلی گرمی,گروه B,"عفونت های ریوی , ادراری , سوزاک , عفونت داخل شکمی , عفونت پوستی , استخوان و مفاصل",1 تا 2 گرم هر 8 تا 12 ساعت,حساسیت شدید به گروه  پنی سیلین ها,"مسمومیت , سوزش و درد محل تزریق , پارسنتزی , راش پوستی , تهوع , استفراغ , اسهال , سردرد, عواض کلیوی",تست های کبدی قبل و حین درمان باید انجام شود.,سابقه آلرژی به پنی سیلین و سفالوسپورین را به پزشک اطلاع دهید. هر گونه اسهال را گزارش کنید. ادامه تب یا ترشحات چرکی در هر محلی را به اطلاع پزشک برسانید.,CEFTIZOXIME,در دمای معمولی نگهداری شود.,---
243,Claforan,سفاوسپورین نسل سوم,آنتی بیوتیک,سفوتاکسيم,ویال تزریقی,گروه B,"عفونت ریه , عفونت ادرار , عفونت پوستی , پریتونیت ,عفونت مغزی , سزارین",0.5 تا 1 گرم هر 12 ساعت وریدی یا عضلانی,"حساسیت شدید , افراد مستعد خونریزی , ولی در افراد با سابقه کم خونی و تشنج یا مشکلات کلیوی با احتیاط مصرف شود.","آلرژی , واکنش محل تزریق , اسهال , اختلالات خونی","در محل تزریق ترومبوفلبیت (لخته و انسداد وریدی به همراه التهاب )ایجاد می شود. به علت نارسایی کلیه , تست های کبدی انجام شود. تزریق عضلانی باید عمیق باشد.",هر گونه اسهال را گزارش کنید.,CEFOTAXIME,در دمای 15 تا  30 درجه نگهداری شود.,---
244,Fortum,سفاوسپورین نسل سوم,آنتی بیوتیک,سفتازيديم,ویال,گروه B,"عفونت ریوی , عفونت ادراری - پوستی , عفونت استخوان , آبسه های داخل شکم , عفونت پرده مغز ( مننژیت)",0.5 تا 1 گرم سفتازیدیم از راه عضلانی,"حساسیت شدید , افراد مستعد خونریزی , ولی در افراد با سابقه کم خونی و تشنج یا مشکلات کلیوی با احتیاط مصرف شود.","خارش , کهیر , ادم , عارضه کلیوی, درد محل تزریق",در صورت اسهال شدید دارو را قطع کنید.,هر گونه عفونت در محل جدید را به پزشک اطلاع دهید.,CEFTAZIDIME,در دمای 15 تا  30 درجه نگهداری شود.,---
245,Recephin,سفاوسپورین نسل سوم,آنتی بیوتیک,سفترياکسون,"ویال 250 میلی گرمی , 500 میلی گرمی , و 1 گرمی",گروه B,"عفونت های تنفسی ,  عفونت پوست و استخوان و کلیه",1 تا 2  گرم هر 12 ساعت تا 4 گرم حداکثر مصرف روزانه است . در مورد عفونت گونوره تزریق یک بار 125 تا 250 میلی گرم به همراه مصرف 7 روز واکسی سیکلین,"حساسیت شدید , افراد مستعد خونریزی , ولی در افراد با سابقه کم خونی و تشنج یا مشکلات کلیوی با احتیاط مصرف شود.","آلرژی , عوارض خونی , اسهال , ضایعات کیسه صفرا , اکیموز , درد محل تزریق",این دارو تمایل به خونریزی را افزایش می دهد.,هر گونه اسهال یا شل شدن مدفوع را به پزشک اطلاع دهید.,CEFTRIAXONE,در دمای اتاق نگهداری شود.,---
246,Suprax,سفاوسپورین نسل سوم,آنتی بیوتیک,سفيکسيم,"قرص 200 و 400 میلی گرمی, شربت",گروه B,"درمان عفونت ادراری , التهاب و عفونت گوش میانی ,عفونت حلق , برونشیت حاد و سوزناک",200 میلی گرم 2 بار در روز,حساسیت شدید به گروه  پنی سیلین ها,"عوارض کبدی , کلیوی , تهوع  و استفراغ , نفخ , خواب آلودگی , اسهال",پیش از شروع درمان کشت و آنتی بیوگرام انجام شود. در صورت تشنج دارو را قطع کنید. عوارض کلیوی در افراد بالای 50 سال رخ می دهد.,هر گونه اسهال را گزارش کنید.,CEFIXIME,شربت آن را بعد از تیه تا 14 روز میتوان در یخچال نگهداری کرد.,---
247,Propine,سمپاتو میمیتیک,ضد آب سیاه چشم,ديپي وفرين,قطره استریل چشمی,گروه B,آب سیاه چشم (گلوکوم زاویه باز),یک قطره هر 12 ساعت,گلوکوم زاویه بسته و حساسیت شدید به دارو,"سوزش چشم , تاری دید , سرگیجه , پرخونی چشم","در صورت مصرف اپی نفرین چشمی, آن را قطع کنید.",پس از چکاندن قطره دستها را با آب و صابون بشوئید و خشک کنید. در ابتدای ورود دارو به چشم ممکن است سوزش ایجاد شود.,DIPIVEFRIN,در دمای معمولی نگهداری شود.,---
